;Nodos;Nodos;Nodos;Nodos;Nodos;Nodos;Tiempo;Tiempo;Tiempo;Tiempo;Tiempo;Tiempo
Solucion Empleada;Abstaylor;Hill-climbing;Hill-climbing-parallel;Simulated-annealing;Simulated-annealing-joa;Simulated-annealing-parallel;Abstaylor;Hill-climbing;Hill-climbing-parallel;Simulated-annealing;Simulated-annealing-joa;Simulated-annealing-parallel
Problema;;;;;;;;;;;;
ex14_2_3;604.8;631.2;2348.8;756.0;589.6;2348.8;1.77;1.7;4.62;2.42;1.58;8.32
ex14_2_7;10838.0;13320.4;18262.0;13581.6;12582.4;18262.0;47.41;102.79;50.3;66.31;59.33;76.62
ex2_1_8;1660.4;1613.6;1614.0;2770.0;1606.4;1614.0;19.22;19.83;7.61;32.31;18.49;8.76
ex2_1_9;5158.8;5161.2;5169.2;5255.2;5209.6;5169.2;14.17;14.2;6.89;9.67;14.64;7.95
ex2_1_9fact;5104.4;5087.2;5114.0;5276.8;5150.8;5114.0;8.66;8.94;6.99;9.9;9.58;12.03
ex6_1_3bis;11170.0;11199.2;11170.0;11236.4;11300.0;11170.0;14.58;15.2;11.81;14.31;15.7;13.65
ex6_1_4;280.8;272.8;490.0;263.2;264.8;490.0;0.54;0.51;0.86;0.49;0.6;1.33
ex6_2_6;60305.6;60106.4;60305.6;60074.8;60171.2;60305.6;56.9;56.14;54.62;59.2;63.05;114.79
ex6_2_8;31831.6;31782.0;31831.6;31746.0;31808.4;31831.6;28.35;20.1;27.9;28.62;28.57;50.13
ex7_3_4;544.4;457.2;39850.67;882.0;422.4;39850.67;2.79;2.64;86.26;3.88;1.66;157.92
ex7_3_4bis;1279.6;835.6;23447.2;1262.4;991.6;23447.2;2.15;1.22;31.28;2.08;1.39;58.08
haverly;152.8;156.0;3054.0;200.0;161.2;3054.0;0.88;0.68;5.68;0.92;0.66;9.45
launch;843.2;735.2;843.2;176.0;3173.6;843.2;10.42;26.71;6.91;3.9;29.96;7.26
