Seed;Solucion empleada;Problema;Tiempo;Nodos
1;Simulates Annealing;ex14_2_7;36,773043;15610
2;Simulates Annealing;ex14_2_7;36,455051;16664
3;Simulates Annealing;ex14_2_7;42,432461;17458
4;Simulates Annealing;ex14_2_7;44,033716;18178
1;Simulates Annealing;ex6_2_12;40,07846;7808
2;Simulates Annealing;ex6_2_12;4,480186;7808
3;Simulates Annealing;ex6_2_12;4,349853;7808
4;Simulates Annealing;ex6_2_12;4,366721;7808
1;Abstaylor;ex14_2_7;40,176953;15594
2;Abstaylor;ex14_2_7;28,586522;11170
3;Abstaylor;ex14_2_7;33,494049;13446
4;Abstaylor;ex14_2_7;31,697062;12882
1;Abstaylor;ex6_2_12;4,278376;7728
2;Abstaylor;ex6_2_12;4,286855;7728
3;Abstaylor;ex6_2_12;4,350289;7728
4;Abstaylor;ex6_2_12;4,625125;7728
